category	modality	aspect_iterative	irregular	length_closure	length_punctual	length_long	magnitude_voice	magnitude_vowel	magnitude_tone
ColorVisual	0	0.43243243243243246	0.08108108108108109	0	0	0	0.32432432432432434	0.2702702702702703	0.08108108108108109
Motion	0.041666666666666664	0.7291666666666666	0.0625	0.020833333333333332	0	0.041666666666666664	0.0625	0.0625	0.020833333333333332
Other	0	0.17647058823529413	0	0	0	0	0.11764705882352941	0.058823529411764705	0
Shape	0	0.0425531914893617	0.0425531914893617	0	0	0.0851063829787234	0.23404255319148937	0.23404255319148937	0
Sound	1	0.5319148936170213	0.02127659574468085	0.2765957446808511	0.2765957446808511	0.02127659574468085	0.1702127659574468	0.1702127659574468	0.06382978723404255
Texture	0	0.09302325581395349	0.023255813953488372	0	0	0	0.13953488372093023	0.06976744186046512	0.023255813953488372
