"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_cumulative","C_any1","C_atleast2","C_ternary","score","logodds","score_z","C_simple"
"11","b<U+0254>yib<U+0254>yi","soft+stretchy (e.g. chewing gum or a stretch of skin)","Ewe","Texture","zacht en rekbaar",NA,"Language","Ewe_10_Texture_org",1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.125661346855074,-0.14451121373755,0
"12","wud<U+0254>wud<U+0254>","soft+flubby","Ewe","Texture","flubberig",NA,"Language","Ewe_11_Texture_org",1,0,0,0,2,2,0,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,1,0.55,0.125661346855074,-0.14451121373755,1
"13","dzekedzeke","fluffy+furry+","Ewe","Texture","donzig, pluizig",NA,"Language","Ewe_12_Texture_org",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,NA,"F_voice: dz- (en kp-, gb-, ts-) als 1 voiced consonant",NA,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0.45,-0.125661346855074,-0.714055409056131,1
"14","ƒlatsaƒlatsa","rough, fine grain, like sandpaper","Ewe","Texture","korrelig oppervlak",NA,"Language","Ewe_13_Texture_org",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,-0.385320466407568,-1.28359960437471,0
"15","klitsaklitsa","rough, coarse grain, like a rocky surface","Ewe","Texture","ruw oppervlak",NA,"Language","Ewe_14_Texture_org",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,-0.385320466407568,-1.28359960437471,0
"16","kpra<U+0256>ii","hard, not necessarily rough","Ewe","Texture","hard oppervlak",NA,"Language","Ewe_15_Texture_org",0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,-0.125661346855074,-0.714055409056131,0
"17","tsinitsini","smooth","Ewe","Texture","glad oppervlak",NA,"Language","Ewe_16_Texture_org",1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,0
"18","takataka","walk without care, meandering a bit, scattered walk — “taking strides takataka”","Ewe","Motion","struinen",NA,"Language","Ewe_17_Motion_org",1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.3,-0.524400512708041,-1.568371702034,1
"19","ka ka ka","to walk straight in clear steps","Ewe","Motion","doelgericht lopen",NA,"Language","Ewe_18_Motion_org",1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.7,0.524400512708041,0.70980507924032,1
"20","lúm<U+0254>lúm<U+0254>","the hurried running of small animals","Ewe","Motion","snel trippelen",NA,"Language","Ewe_19_Motion_org",1,0,0,0,2,2,0,2,0,1,0,0,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,0,1,1,2,1,1,2,0.55,0.125661346855074,-0.14451121373755,2
"21","kpa","sound of a slap","Ewe","Sound","geluid van een mep",NA,"Language","Ewe_2_Sound_org",0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,NA,NA,NA,NA,1,0,0,0,1,0,1,0,0,1,0,1,1,3,1,1,3,0.7,0.524400512708041,0.70980507924032,3
"22","kodzokodzo","walk with the body bent forward","Ewe","Motion","voorovergebogen lopen",NA,"Language","Ewe_20_Motion_org",1,0,0,0,2,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.45,-0.125661346855074,-0.714055409056131,1
"23","kpa<U+0256>ikpa<U+0256>i","walking with limbs closely together","Ewe","Motion","met je benen dicht bij elkaar lopen",NA,"Language","Ewe_21_Motion_org",1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.3,-0.524400512708041,-1.568371702034,1
"24","gbl<U+0254>d<U+0254><U+0254>","walk slowly, weakly","Ewe","Motion","sjokken",NA,"Language","Ewe_22_Motion_org",0,0,0,0,2,2,1,1,0,1,0,2,0,1,0,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,1,2,1,2,1,1,2,0.65,0.385320466407568,0.42503298158103,1
"25","tyatya","walk (or do sth) fast","Ewe","Motion","snel wandelen",NA,"Language","Ewe_23_Motion_org",1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.8,0.841621233572914,1.2793492745589,1
"26","gelegele","rolling (of a log), where vowel quality modifies size","Ewe","Motion","rollen van iets langs (b.v. een boomstam)",NA,"Language","Ewe_24_Motion_org",1,0,0,0,0,2,0,2,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.65,0.385320466407568,0.42503298158103,1
"27","tolitoli","rolling (of a spherical object)","Ewe","Motion","rollen van iets rongs (b.v. een voetbal)",NA,"Language","Ewe_25_Motion_org",1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.6,0.2533471031358,0.14026088392174,1
"28","bulubulu","walking without looking where one is going","Ewe","Motion","lopen zonder te kijken",NA,"Language","Ewe_26_Motion_org",1,0,0,0,2,2,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.4,-0.2533471031358,-0.998827506715421,1
"29","kplakplakpla","walking hurriedly","Ewe","Motion","gehaast lopen",NA,"Language","Ewe_27_Motion_org",1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.45,-0.125661346855074,-0.714055409056131,1
"30","to<U+0256>oo","round","Ewe","Shape","ronde vorm",NA,"Language","Ewe_28_Shape_org",0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,0
"31","gl<U+0254>m<U+0254><U+0254>","with a bulge somewhere, deviating from spherical","Ewe","Shape","uitpuilende vorm",NA,"Language","Ewe_29_Shape_org",0,0,0,0,2,2,1,1,0,0,1,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,1,0.7,0.524400512708041,0.70980507924032,1
"32","kpo","sound of falling","Ewe","Sound","geluid van iets vallends",NA,"Language","Ewe_3_Sound_org",0,1,0,0,2,0,0,1,1,0,0,1,1,0,1,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,2,0.5,0,-0.429283311396841,2
"33","l<U+025B>gb<U+025B><U+025B>","long","Ewe","Shape","lange vorm",NA,"Language","Ewe_30_Shape_org",0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0.6,0.2533471031358,0.14026088392174,0
"34","dz<U+0254>vuu","bloated, raised+spongy aspect to it","Ewe","Shape","opgezwollen, sponzige vorm",NA,"Language","Ewe_31_Shape_org",0,0,0,0,2,2,1,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,1,0.8,0.841621233572914,1.2793492745589,1
"35","l<U+0254>b<U+0254><U+0254>","long+rounded","Ewe","Shape","lang en ronde vorm",NA,"Language","Ewe_32_Shape_org",0,0,0,0,2,2,1,1,0,0,0,1,0,1,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0.55,0.125661346855074,-0.14451121373755,0
"36","prontoe","the protruding pointy tummy of a pregnant woman","Ewe","Shape","vorm van een  hoogzwangere buik",NA,"Language","Ewe_33_Shape_org",0,0,0,0,2,0,1,2,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0.6,0.2533471031358,0.14026088392174,1
"37","goroo","round+spherical","Ewe","Shape","bolvormig",NA,"Language","Ewe_34_Shape_org",0,0,0,0,2,2,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.385320466407568,0.42503298158103,0
"38","falefale","thin+flat (e.g. leaf, piece of paper)","Ewe","Shape","dun en plat (b.v. papier)",NA,"Language","Ewe_35_Shape_org",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,1,0.75,0.674489750196082,0.994577176899611,1
"39","fitaa/futaa","purely white","Ewe","ColorVisual","sneeuwwit (perfect wit)",NA,"Language","Ewe_36_ColorVisual_org",0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,0,1,0.65,0.385320466407568,0.42503298158103,1
"40","yib<U+0254><U+0254>","black","Ewe","ColorVisual","pikzwart",NA,"Language","Ewe_37_ColorVisual_org",0,0,0,0,1,2,1,1,0,0,0,2,0,0,0,NA,NA,"F_vowelquality: lange <<U+0254><U+0254>> heb ik als 1 klinker beschouwd",NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0.5,0,-0.429283311396841,1
"41","h<U+025B>~<U+025B>~<U+025B>~","focal red","Ewe","ColorVisual","knalrood",NA,"Language","Ewe_38_ColorVisual_org",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,NA,NA,"F_voice: h als voiced consonant in Ewe, dus mostly voiced (2).",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,-0.125661346855074,-0.714055409056131,0
"42","kpííí","light greyish","Ewe","ColorVisual","lichtgrijs",NA,"Language","Ewe_39_ColorVisual_org",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,1,0.6,0.2533471031358,0.14026088392174,1
"43","kpótókpótó","sound of small drum","Ewe","Sound","geluid van een trommeltje",NA,"Language","Ewe_4_Sound_org",1,0,0,0,2,0,0,1,1,1,0,1,0,0,0,NA,"M_distribution: translation suggests punctuality but should have been ""sound of playing a small drum""",NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.9,1.2815515655446,1.84889346987748,2
"44","mumu","green-fresh (of young leaves)","Ewe","ColorVisual","lichtgroen van jonge bladeren",NA,"Language","Ewe_40_ColorVisual_org",1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.2533471031358,-0.998827506715421,0
"45","wãtãwãtã","spotted","Ewe","ColorVisual","gestippeld",NA,"Language","Ewe_41_ColorVisual_org",1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.7,0.524400512708041,0.70980507924032,1
"46","mlámlá","shiny","Ewe","ColorVisual","glanzend,  glimmend",NA,"Language","Ewe_42_ColorVisual_org",1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0.7,0.524400512708041,0.70980507924032,1
"47","gblóó","falling flat","Ewe","Sound","geluid van iets dat plat neervalt",NA,"Language","Ewe_5_Sound_org",0,1,0,0,2,2,1,1,1,0,0,1,1,0,1,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,2,0.6,0.2533471031358,0.14026088392174,2
"48","gbóvúú","falling in an uneven way (e.g. knees first)","Ewe","Sound","geluid van iets in elkaar zakkends",NA,"Language","Ewe_6_Sound_org",0,0,0,0,2,2,0,1,1,0,1,1,1,0,0,NA,NA,"f_finalvowel: wel (1) volgens transcriptie, maar niet goed te horen in audiofile",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.7,0.524400512708041,0.70980507924032,1
"49","hoo","sound of crying out (often repeated)","Ewe","Sound","geluid van een kreet, schreeuw",NA,"Language","Ewe_7_Sound_org",0,1,0,0,2,0,1,1,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,2,0.6,0.2533471031358,0.14026088392174,2
"50","butubutu","sound of mumbling voice","Ewe","Sound","gemompel",NA,"Language","Ewe_8_Sound_org",1,0,0,0,2,1,0,1,1,1,0,1,0,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.65,0.385320466407568,0.42503298158103,2
"51","b<U+0254>l<U+0254>b<U+0254>l<U+0254>","soft+malleable (e.g. the belly of a fat person, a cushion)","Ewe","Texture","zacht en plooibaar",NA,"Language","Ewe_9_Texture_org",1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.385320466407568,0.42503298158103,0
"52","furafura","dizzy","Japanese","Other","duizelig","stabiel","Collabra","furafura",1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827586206896552,0.944669591394477,0.691484941533503,0
"53","fuwafuwa","fluffy","Japanese","Texture","pluizig","houtig","Collabra","fuwafuwa",1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0.931034482758621,1.4835398594013,1.4213857131522,1
"54","gayagaya","noisy","Japanese","Sound","lawaaiig","ingehouden","Collabra","gayagaya",1,0,0,0,1,2,0,1,1,1,1,1,0,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.827586206896552,0.944669591394477,0.691484941533503,2
"55","gochagocha","messy","Japanese","Other","rommelig","opgeruimd","Collabra","gochagocha",1,0,0,0,2,1,0,1,0,1,1,1,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.586206896551724,0.217798379927398,-1.01161685891012,1
"56","gokugoku","gulping","Japanese","Sound","slokkend","nippend","Collabra","gokugoku",1,0,0,0,2,1,0,1,1,1,0,1,0,0,0,NA,"aspect hard to decide",NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.931034482758621,1.4835398594013,1.4213857131522,2
"57","gowagowa","stiff","Japanese","Texture","stijf","soepel","Collabra","gowagowa",1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482758620689655,-0.0432311911528176,-1.74151763052882,0
"58","harahara","nervous","Japanese","Other","ongedurig","ontspannend","Collabra","harahara",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551724137931034,0.130018583307083,-1.25491711611635,0
"59","hetoheto","exhausted","Japanese","Other","afgemat","uitgerust","Collabra","hetoheto",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862068965517241,1.08966198194611,0.934785198739729,0
"60","hikuhiku","twitchy","Japanese","Motion","geagiteerd","onbewogen","Collabra","hikuhiku",1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758620689655172,0.701872595421959,0.204884427121035,0
"61","hisohiso","whispering","Japanese","Sound","fluisterend","roepend","Collabra","hisohiso",1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,NA,NA,NA,NA,1,1,0,0,0,0,1,0,0,1,0,1,1,3,1,1,3,0.96551724137931,1.81864559285006,1.66468597035842,3
"62","hiyahiya","terrified","Japanese","Other","benauwd","moedig","Collabra","hiyahiya",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413793103448276,-0.217798379927398,-2.22811814494128,0
"63","hokahoka","steaming hot","Japanese","Other","dampend","afgekoeld","Collabra","hokahoka",1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.724137931034483,0.595178533333279,-0.0384158300851923,1
"64","wan wan","dog barking","Japanese","Sound","geluid van een blaffende hond",NA,"Language","Japanese_1_Sound_org",1,0,0,1,1,2,0,1,1,1,0,1,0,0,1,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,1,0,0,3,1,1,3,0.8,0.841621233572914,1.2793492745589,2
"65","pon","plop, like opening a beer bottle","Japanese","Sound","ploppend geluid",NA,"Language","Japanese_10_Sound_org",0,1,0,1,2,1,0,2,1,0,0,1,1,0,1,NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,1,1,0,0,3,1,1,3,0.95,1.64485362695147,2.13366556753677,2
"66","zaa zaa","sound of rain, shower","Japanese","Sound","kletterend geluid",NA,"Language","Japanese_11_Sound_org",1,0,0,0,1,2,0,1,1,1,0,1,0,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.4,-0.2533471031358,-0.998827506715421,2
"67","fuwafuwa","fluffy","Japanese","Texture","donzig, pluizig",NA,"Language","Japanese_12_Texture_org",1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,"M_weight: dingen als donzig heb ik als (2) gedaan, ook al is het ook wel licht meestal, maar focus ligt hier voor mij op het zachte",0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0.85,1.03643338949379,1.56412137221819,1
"68","pasapasa","dry, brittle","Japanese","Texture","broos",NA,"Language","Japanese_13_Texture_org",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0.75,0.674489750196082,0.994577176899611,1
"69","nebaneba","sticky","Japanese","Texture","kleverig",NA,"Language","Japanese_14_Texture_org",1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,0
"70","gitogito","being oily","Japanese","Texture","glibberig",NA,"Language","Japanese_15_Texture_org",1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.125661346855074,-0.14451121373755,0
"71","tsuru tsuru","slippery, smooth surface","Japanese","Texture","glad (zoals ijs is)",NA,"Language","Japanese_16_Texture_org",1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,0
"72","deko boko","bumpy","Japanese","Texture","hobbelig",NA,"Language","Japanese_17_Texture_org",1,0,1,0,2,1,0,1,0,1,1,1,0,0,0,"F_partialredup: count as full with vowel mod or as partial?",NA,NA,NA,0,1,1,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.75,0.674489750196082,0.994577176899611,1
"73","kachi kachi","sehr hart","Japanese","Texture","heel hard oppervlak",NA,"Language","Japanese_18_Texture_org",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2533471031358,0.14026088392174,0
"74","sarasara","smooth, (hair)","Japanese","Texture","glad, soepel",NA,"Language","Japanese_19_Texture_org",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.125661346855074,-0.14451121373755,0
"75","choki choki","scissors snipping","Japanese","Sound","geluid van een knippende schaar",NA,"Language","Japanese_2_Sound_org",1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.75,0.674489750196082,0.994577176899611,2
"76","nurunuru","slimy","Japanese","Texture","slijmerig",NA,"Language","Japanese_20_Texture_org",1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,0
"77","zarazara","rough","Japanese","Texture","ruw",NA,"Language","Japanese_21_Texture_org",1,0,0,0,1,2,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.524400512708041,0.70980507924032,0
"78","kyutto","schnell und fest schnüren","Japanese","Motion","secuur vastknopen",NA,"Language","Japanese_22_Motion_org",0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.524400512708041,0.70980507924032,0
"79","sa satto","acting fast","Japanese","Motion","snel handelen",NA,"Language","Japanese_23_Motion_org",0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.674489750196082,0.994577176899611,0
"80","pyon pyon","manner of jumping or hopping repeatedly","Japanese","Motion","(blijven) huppelen",NA,"Language","Japanese_24_Motion_org",1,0,0,1,2,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.6,0.2533471031358,0.14026088392174,1
"81","yurayura","sway to and fro","Japanese","Motion","heen en weer slingeren",NA,"Language","Japanese_25_Motion_org",1,0,0,0,2,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.65,0.385320466407568,0.42503298158103,1
"82","fuwari","floating, drifting lightly","Japanese","Motion","drijven, zweven",NA,"Language","Japanese_26_Motion_org",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0.5,0,-0.429283311396841,1
"83","daradara","langsame bewegung","Japanese","Motion","langzame beweging, lui",NA,"Language","Japanese_27_Motion_org",1,0,0,0,1,2,0,1,0,0,0,2,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0.15,-1.03643338949379,-2.42268799501187,1
"84","gorogoro","drehend, sich rollend","Japanese","Motion","draaiend, rollend",NA,"Language","Japanese_28_Motion_org",1,0,0,0,2,2,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.75,0.674489750196082,0.994577176899611,1
"85","yota yota","the manner of walking with heavy faltering steps","Japanese","Motion","langzaam,  zwaar, en onzeker lopen",NA,"Language","Japanese_29_Motion_org",1,0,0,0,2,0,0,1,0,1,0,2,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,1,0,1,1,2,1,1,2,0.4,-0.2533471031358,-0.998827506715421,2
"86","bon","boom, exploding sound","Japanese","Sound","explosie (boem)",NA,"Language","Japanese_3_Sound_org",0,1,0,1,2,2,0,1,1,0,0,2,1,0,1,NA,NA,NA,NA,1,0,0,1,1,0,1,1,0,1,1,2,1,4,1,1,3,0.95,1.64485362695147,2.13366556753677,3
"87","zuratto","state of things being arranged in a line","Japanese","Shape","opgelijnd",NA,"Language","Japanese_30_Shape_org",0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.2533471031358,-0.998827506715421,0
"88","hyorohyoro","froot,mager, hager","Japanese","Shape","mager",NA,"Language","Japanese_31_Shape_org",1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0.5,0,-0.429283311396841,1
"89","tsun-tsun","the state in which something small is sharp pointed","Japanese","Shape","kleine en scherpe vorm, vorm",NA,"Language","Japanese_32_Shape_org",1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2533471031358,0.14026088392174,0
"90","guu","protruding","Japanese","Shape","uitpuilend",NA,"Language","Japanese_33_Shape_org",0,1,0,0,2,2,1,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,1,0.45,-0.125661346855074,-0.714055409056131,1
"91","mokomoko","weich voluminös warm","Japanese","Shape","week en warm",NA,"Language","Japanese_34_Shape_org",1,0,0,0,2,1,0,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0.55,0.125661346855074,-0.14451121373755,1
"92","perapera","dünn","Japanese","Shape","dun",NA,"Language","Japanese_35_Shape_org",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,1,0.4,-0.2533471031358,-0.998827506715421,1
"93","sura-to","Hochgewachsen Schlank","Japanese","Shape","rank",NA,"Language","Japanese_36_Shape_org",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0.7,0.524400512708041,0.70980507924032,1
"94","pocha-to","pummelig","Japanese","Shape","mollig",NA,"Language","Japanese_37_Shape_org",0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0.5,0,-0.429283311396841,1
"95","pan pan","prall gefüllt","Japanese","Shape","tot knappen opgeblazen",NA,"Language","Japanese_38_Shape_org",1,0,0,1,1,1,0,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.2815515655446,1.84889346987748,0
"96","pikapika","glittering","Japanese","ColorVisual","glinstering",NA,"Language","Japanese_39_ColorVisual_org",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,1,1,0,1,0,2,1,2,1,1,2,0.4,-0.2533471031358,-0.998827506715421,2
