"rater","rating","language","category","list","study","filename","ideophone"
"N003",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N005",3,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N010",3.9,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N012",4,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N017",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N021",3.5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N023",4.2,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N029",4.5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N031",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N041",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N048",2.7,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N051",2.5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N055",4.1,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N058",4.1,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N061",2,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N064",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N068",5,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N072",4.1,"Ewe","Sound","A","Language","ewe_1_sound","gbììm"
"N003",5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N005",4,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N010",4.6,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N012",4.6,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N017",5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N021",2.3,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N023",3.5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N029",3.5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N031",4.3,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N041",5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N048",4.3,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N051",4.6,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N055",4.1,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N058",3.6,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N061",4.8,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N064",1,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N068",5,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N072",4.4,"Ewe","Sound","A","Language","ewe_2_sound","kpa"
"N003",1,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N005",3,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N010",3.5,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N012",2.1,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N017",4,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N021",4.3,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N023",2.9,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N029",3,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N031",4.7,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N041",2.5,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N048",1.4,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N051",4.4,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N055",4.1,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N058",1.5,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N061",3,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N064",2.8,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N068",4.9,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N072",3.5,"Ewe","Texture","A","Language","ewe_9_texture","bɔlɔbɔlɔ"
"N003",1,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N005",3.8,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N010",3.6,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N012",2.6,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N017",4,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N021",5,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N023",3.5,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N029",2,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N031",4,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N041",1.8,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N048",2.2,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N051",4,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N055",4.9,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N058",4,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N061",4.1,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N064",1,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N068",5,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N072",3.5,"Ewe","Texture","A","Language","ewe_11_texture","wudɔwudɔ"
"N003",1,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N005",3.4,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N010",2.4,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N012",2.2,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N017",1,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N021",4.1,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N023",1.9,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N029",2,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N031",1.5,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N041",2.5,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N048",2.4,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N051",3.1,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N055",2,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N058",1.8,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N061",1.2,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N064",1,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N068",5,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N072",3.5,"Ewe","Motion","A","Language","ewe_17_motion","takataka"
"N003",1,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N005",4,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N010",4.5,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N012",4.3,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N017",5,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N021",1.5,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N023",3.1,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N029",4.1,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N031",5,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N041",5,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N048",5,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N051",4.8,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N055",5,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N058",3.6,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N061",5,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N064",4.3,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N068",4.9,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N072",3.6,"Ewe","Motion","A","Language","ewe_18_motion","ka ka ka"
"N003",1,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N005",3.5,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N010",2,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N012",3.9,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N017",4,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N021",3.2,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N023",1.3,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N029",3,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N031",3.4,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N041",4.8,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N048",1.9,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N051",3.1,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N055",4.9,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N058",2.5,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N061",2,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N064",1,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N068",4.9,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N072",1.8,"Ewe","Motion","A","Language","ewe_19_motion","lúmɔlúmɔ"
"N003",1,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N005",3.3,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N010",4.4,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N012",2,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N017",4,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N021",5,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N023",3.1,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N029",4.1,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N031",3.4,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N041",3.8,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N048",1.4,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N051",2.7,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N055",4,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N058",2.8,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N061",5,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N064",3.3,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N068",4.9,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N072",3.7,"Ewe","Shape","A","Language","ewe_28_shape","toɖoo"
"N003",1,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N005",3.9,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N010",4.5,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N012",2.1,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N017",5,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N021",4.8,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N023",3.3,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N029",2.5,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N031",1.1,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N041",3.8,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N048",3.6,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N051",4.3,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N055",5,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N058",3.7,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N061",5,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N064",4.1,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N068",5,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N072",4.1,"Ewe","Shape","A","Language","ewe_29_shape","glɔmɔɔ"
"N003",1,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N005",1.9,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N010",4,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N012",2.2,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N017",2,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N021",1,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N023",1.6,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N029",5,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N031",1.2,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N041",1,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N048",3.4,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N051",3.1,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N055",1.2,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N058",1.6,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N061",4.2,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N064",1,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N068",4.8,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N072",2.6,"Ewe","ColorVisual","A","Language","ewe_36_color",NA
"N003",1,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N005",3.6,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N010",4.1,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N012",2,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N017",2,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N021",3,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N023",2.1,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N029",1.5,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N031",2.6,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N041",4,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N048",1.3,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N051",4.7,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N055",4,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N058",4.1,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N061",5,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N064",3.2,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N068",4.9,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N072",3.8,"Ewe","ColorVisual","A","Language","ewe_37_color",NA
"N003",3.7,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N005",4.5,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N010",4.5,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N012",3.9,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N017",4,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N021",5,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N023",4.2,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N029",5,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N031",4.3,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N041",3.8,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N048",2.2,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N051",4.5,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N055",5,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N058",3.8,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N061",4.3,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N064",2.9,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N068",5,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N072",3.6,"Korean","Sound","A","Language","korean_1_sound","k'ungk'ung"
"N003",1,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N005",4.6,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N010",5,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N012",3.9,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N017",4,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N021",4.8,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N023",3.8,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N029",5,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N031",4.9,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N041",3.5,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N048",4.3,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N051",4.7,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N055",5,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N058",4.5,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N061",5,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N064",3.1,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N068",4.1,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N072",4.3,"Korean","Sound","A","Language","korean_2_sound","tchallangtchallang"
"N003",1.3,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N005",3.1,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N010",4,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N012",1.9,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N017",3,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N021",1.6,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N023",3.5,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N029",2,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N031",4.5,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N041",4.9,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N048",1.7,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N051",4.6,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N055",4.9,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N058",2,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N061",3.1,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N064",2.1,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N068",4.4,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N072",2.6,"Korean","Sound","A","Language","korean_3_sound","cholchol"
"N003",1,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N005",2.7,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N010",3.6,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N012",2.2,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N017",2,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N021",2,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N023",1.9,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N029",3,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N031",4.8,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N041",1.6,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N048",1.8,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N051",2.1,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N055",3.6,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N058",2.5,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N061",3.1,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N064",4.1,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N068",4.1,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N072",3.1,"Korean","Texture","A","Language","korean_11_texture","kkŏkkŭlkkŏkkŭl"
"N003",1,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N005",3.1,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N010",3.6,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N012",2.1,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N017",1,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N021",1.7,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N023",1.7,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N029",1,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N031",3.4,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N041",2,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N048",2.4,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N051",4.5,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N055",2.6,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N058",1.9,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N061",1,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N064",1.8,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N068",4,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N072",2.5,"Korean","Texture","A","Language","korean_12_texture","pasakpasak"
"N003",1,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N005",3.9,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N010",2.4,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N012",3.8,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N017",1,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N021",3.9,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N023",3.2,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N029",2,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N031",4.3,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N041",2,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N048",2.1,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N051",4.5,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N055",4,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N058",2.3,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N061",5,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N064",4.1,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N068",4.9,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N072",3.7,"Korean","Texture","A","Language","korean_13_texture","podŭlbodŭl"
"N003",1,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N005",3.4,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N010",3.7,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N012",2.8,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N017",1,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N021",1.4,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N023",1.6,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N029",2.5,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N031",4.2,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N041",4.3,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N048",1.9,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N051",2.4,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N055",4.1,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N058",4.5,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N061",5,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N064",1,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N068",3.1,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N072",3.2,"Korean","Motion","A","Language","korean_20_motion","songsong"
"N003",1,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N005",3.1,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N010",4.2,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N012",2,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N017",3,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N021",5,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N023",1.7,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N029",1,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N031",2,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N041",4.3,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N048",3.5,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N051",4.1,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N055",4.8,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N058",3.6,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N061",5,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N064",4,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N068",4.1,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N072",3.3,"Korean","Motion","A","Language","korean_21_motion","ŭssŭgŭssŭk"
"N003",1,"Korean","Shape","A","Language","korean_30_shape","tunggŭltunggŭl"
"N005",1.5,"Korean","Shape","A","Language","korean_30_shape","tunggŭltunggŭl"
"N010",3,"Korean","Shape","A","Language","korean_30_shape","tunggŭltunggŭl"
"N012",2.1,"Korean","Shape","A","Language","korean_30_shape","tunggŭltunggŭl"
"N017",2,"Korean","Shape","A","Language","korean_30_shape","tunggŭltunggŭl"
"N021",2.4,"Korean","Shape","A","Language","korean_30_shape","tunggŭltunggŭl"
"N023",2.8,"Korean","Shape","A","Language","korean_30_shape","tunggŭltunggŭl"
"N029",2.5,"Korean","Shape","A","Language","korean_30_shape","tunggŭltunggŭl"
"N031",3.2,"Korean","Shape","A","Language","korean_30_shape","tunggŭltunggŭl"
