"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","C_cumulative","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_any1","C_atleast2","C_ternary","score","logodds","score_z","rating","rating_z"
"17","tolitoli","rolling (of a spherical object)","Ewe","Motion","rollen van iets rongs (b.v. een voetbal)",NA,"Language","Ewe_25_Motion",1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.6,0.2533471031358,0.14026088392174,3.65555555555556,0.883099258207148
"18","bulubulu","walking without looking where one is going","Ewe","Motion","lopen zonder te kijken",NA,"Language","Ewe_26_Motion",1,1,0,0,0,2,2,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.4,-0.2533471031358,-0.998827506715421,2.42,-0.628540933696172
"19","kplakplakpla","walking hurriedly","Ewe","Motion","gehaast lopen",NA,"Language","Ewe_27_Motion",1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.45,-0.125661346855074,-0.714055409056131,3.085,0.185053180381289
"20","toɖoo","round","Ewe","Shape","ronde vorm",NA,"Language","Ewe_28_Shape",0,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,3.43888888888889,0.618018469159354
"21","glɔmɔɔ","with a bulge somewhere, deviating from spherical","Ewe","Shape","uitpuilende vorm",NA,"Language","Ewe_29_Shape",2,0,0,0,0,2,2,1,1,0,0,1,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,1,0.7,0.524400512708041,0.70980507924032,3.71111111111111,0.951068691296326
"22","kpa","sound of a slap","Ewe","Sound","geluid van een mep",NA,"Language","Ewe_2_Sound",3,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,NA,NA,NA,NA,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,3,0.7,0.524400512708041,0.70980507924032,4.08888888888889,1.41326083630274
"23","lɛgbɛɛ","long","Ewe","Shape","lange vorm",NA,"Language","Ewe_30_Shape",1,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0.6,0.2533471031358,0.14026088392174,3.92105263157895,1.20792160160175
"24","dzɔvuu","bloated, raised+spongy aspect to it","Ewe","Shape","opgezwollen, sponzige vorm",NA,"Language","Ewe_31_Shape",2,0,0,0,0,2,2,1,1,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,1,0.8,0.841621233572914,1.2793492745589,3.45789473684211,0.64127116995302
"25","lɔbɔɔ","long+rounded","Ewe","Shape","lang en ronde vorm",NA,"Language","Ewe_32_Shape",1,0,0,0,0,2,2,1,1,0,0,0,1,0,1,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0.55,0.125661346855074,-0.14451121373755,4.02222222222222,1.33169751659572
"26","prontoe","the protruding pointy tummy of a pregnant woman","Ewe","Shape","vorm van een  hoogzwangere buik",NA,"Language","Ewe_33_Shape",1,0,0,0,0,2,0,1,2,0,0,0,2,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0.6,0.2533471031358,0.14026088392174,2.73333333333333,-0.245193331073208
